headword_iast	headword_slp1	entry_id	page	body
a	a	1	111-a	"{@1a,@}¦ {%<ab>pron.</ab> root, see%} {@idam@} {%and%} <ls n=""wg,502"">502.</ls>"
a	a	2	111-a	{@2a,@}¦ {%negative prefix, see%} {@an.@}
aṃśa	aMSa	3	111-a	{@áṃśa,@}¦ {%<ab>m.</ab>%} (that which one gets, {%<ab>i. e.</ab>%}) one's portion; {%and so, generalized,%} portion, part. [{@√1aś,@} ‘get.’]
aṃśu	aMSu	4	111-a	{@aṃśú,@}¦ {%<ab>m.</ab>%} juicy internodium {%or%} shoot of the Soma-plant; {%and so,%} shooting ray (of light).
aṃśumant	aMSumant	5	111-a	"{@aṃśumánt,@}¦ {%<ab>a.</ab>%} rich in beams, radiant; {%as%} {%<ab>m.</ab>%} the sun, <ls n=""lan,16,4"">16<sup>4</sup></ls>. [{@aṃśú,@} <ls n=""wg,1235"">1235b</ls>.]"
aṃsa	aMsa	6	111-a	"{@áṃsa,@}¦ {%<ab>m.</ab>%} shoulder. [perhaps, ‘the strong’ (part), {@√am,@} <ls n=""wg,1197"">1197a</ls>: <ab>cf.</ab> <lang n=""greek"">ὦμ-ος</lang>, <ab>Lat.</ab> {%um-erus,%} <ab>Goth.</ab> {%amsa,%} ‘shoulder.’]"
akasmāt	akasmAt	7	111-a	{@a-kasmāt,@}¦ {%<ab>adv.</ab>%} without any “wherefore”; without apparent cause; unexpectedly; accidentally.
akasmādāgantu	akasmAdAgantu	8	111-a	"{@akasmād-āgantu,@}¦ {%<ab>m.</ab>%} an accidental arrival, <lbinfo n=""ar-rival,""/>  a chance comer."
akāra	akAra	9	111-a	"{@a-kāra,@}¦ {%<ab>m.</ab>%} the sound {%or%} letter <ab>a.</ab> [Whitney, <lbinfo n=""[Whit-ney,""/>  <ls n=""wg,18"">18.</ls>]"
akāraṇa	akAraRa	10	111-a	{@a-kāraṇa,@}¦ {%<ab>n.</ab>%} lack of cause; {@-am,@} {%<ab>adv.</ab>%} causelessly.
akīrti	akIrti	11	111-a	{@a-kīrti,@}¦ {%<ab>f.</ab>%} non-fame, disgrace.
akīrtikara	akIrtikara	12	111-a	"{@akīrti-kara,@}¦ {%<ab>a.</ab>%} causing disgrace, disgraceful. <lbinfo n=""dis-graceful.""/>"
akṛta	akfta	13	111-a	{@á-kṛta,@}¦ {%<ab>a.</ab>%} not done; uncooked.
aktu	aktu	14	111-a	"{@aktú,@}¦ {%<ab>m.</ab>%} <div n=""2""/>{@—1.@} ointment; <div n=""2""/>{@—2.@} light, beam of light; <div n=""2""/>{@—3.@} night. [for 2, <ab>cf.</ab> <lang n=""greek"">ἀκτίς</lang>, ‘beam.’]"
akriyamāṇa	akriyamARa	15	111-a	"{@a-kriyamāṇa,@}¦ {%<ab>a.</ab>%} not being accomplished. [{@√1kṛ,@} ‘do,’ <ls n=""wg,770"">770c</ls>.]"
